




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_CH12.ZDNA.genes_uniq.txt (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	H3K4me3_CH12.ZDNA.genes_uniq.txt (556)	H3K4me3_CH12.ZDNA.genes_uniq.txt (expected)	H3K4me3_CH12.ZDNA.genes_uniq.txt (over/under)	H3K4me3_CH12.ZDNA.genes_uniq.txt (fold Enrichment)	H3K4me3_CH12.ZDNA.genes_uniq.txt (raw P-value)	H3K4me3_CH12.ZDNA.genes_uniq.txt (FDR)
cleavage furrow formation (GO:0036089)	7	4	.18	+	22.60	1.05E-04	9.65E-03
regulation of dendrite extension (GO:1903859)	32	6	.81	+	7.42	3.09E-04	2.35E-02
regulation of dendritic spine development (GO:0060998)	81	10	2.05	+	4.88	8.23E-05	7.68E-03
regulation of synaptic vesicle exocytosis (GO:2000300)	84	9	2.12	+	4.24	4.84E-04	3.36E-02
regulation of postsynapse organization (GO:0099175)	111	11	2.81	+	3.92	2.21E-04	1.85E-02
regulation of neurotransmitter secretion (GO:0046928)	123	12	3.11	+	3.86	1.33E-04	1.18E-02
negative regulation of protein kinase activity (GO:0006469)	208	20	5.26	+	3.80	1.07E-06	1.79E-04
negative regulation of kinase activity (GO:0033673)	231	22	5.84	+	3.77	3.61E-07	6.94E-05
negative regulation of protein serine/threonine kinase activity (GO:0071901)	117	11	2.96	+	3.72	3.36E-04	2.52E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	107	10	2.71	+	3.70	6.47E-04	4.25E-02
multicellular organism growth (GO:0035264)	119	11	3.01	+	3.66	3.84E-04	2.79E-02
regulation of synapse assembly (GO:0051963)	121	11	3.06	+	3.60	4.38E-04	3.10E-02
digestive tract development (GO:0048565)	121	11	3.06	+	3.60	4.38E-04	3.08E-02
digestive system development (GO:0055123)	134	12	3.39	+	3.54	2.77E-04	2.18E-02
positive regulation of Wnt signaling pathway (GO:0030177)	138	12	3.49	+	3.44	3.55E-04	2.63E-02
regulation of neurotransmitter transport (GO:0051588)	140	12	3.54	+	3.39	4.01E-04	2.90E-02
positive regulation of GTPase activity (GO:0043547)	236	20	5.97	+	3.35	6.29E-06	8.62E-04
cell-cell signaling by wnt (GO:0198738)	237	20	5.99	+	3.34	6.66E-06	9.06E-04
Wnt signaling pathway (GO:0016055)	237	20	5.99	+	3.34	6.66E-06	8.98E-04
negative regulation of MAPK cascade (GO:0043409)	178	15	4.50	+	3.33	9.43E-05	8.69E-03
negative regulation of transferase activity (GO:0051348)	264	22	6.68	+	3.30	2.81E-06	4.07E-04
regulation of GTPase activity (GO:0043087)	324	27	8.19	+	3.30	2.12E-07	4.28E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	163	13	4.12	+	3.15	4.44E-04	3.11E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	291	23	7.36	+	3.13	3.83E-06	5.39E-04
regulation of cell junction assembly (GO:1901888)	220	17	5.56	+	3.06	8.94E-05	8.29E-03
positive regulation of binding (GO:0051099)	195	15	4.93	+	3.04	2.39E-04	1.97E-02
regulation of synapse organization (GO:0050807)	261	20	6.60	+	3.03	2.46E-05	2.73E-03
phospholipid biosynthetic process (GO:0008654)	196	15	4.96	+	3.03	2.52E-04	2.05E-02
regulation of synapse structure or activity (GO:0050803)	273	20	6.90	+	2.90	4.45E-05	4.49E-03
modulation of chemical synaptic transmission (GO:0050804)	516	37	13.05	+	2.84	4.72E-08	1.16E-05
regulation of trans-synaptic signaling (GO:0099177)	517	37	13.07	+	2.83	4.94E-08	1.18E-05
protein localization to cell periphery (GO:1990778)	253	18	6.40	+	2.81	1.49E-04	1.29E-02
homeostasis of number of cells (GO:0048872)	297	21	7.51	+	2.80	4.68E-05	4.70E-03
small GTPase mediated signal transduction (GO:0007264)	227	16	5.74	+	2.79	3.76E-04	2.75E-02
covalent chromatin modification (GO:0016569)	341	24	8.62	+	2.78	1.47E-05	1.83E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	244	17	6.17	+	2.76	2.83E-04	2.21E-02
ossification (GO:0001503)	230	16	5.82	+	2.75	4.30E-04	3.07E-02
negative regulation of protein phosphorylation (GO:0001933)	349	24	8.82	+	2.72	2.10E-05	2.41E-03
histone modification (GO:0016570)	335	23	8.47	+	2.72	3.18E-05	3.38E-03
negative regulation of phosphorylation (GO:0042326)	395	27	9.99	+	2.70	7.17E-06	9.59E-04
phosphorylation (GO:0016310)	825	55	20.86	+	2.64	2.78E-10	1.33E-07
regulation of binding (GO:0051098)	391	26	9.89	+	2.63	1.66E-05	2.03E-03
protein phosphorylation (GO:0006468)	655	43	16.56	+	2.60	6.13E-08	1.42E-05
